"view_history","rt","trial_type_label","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","response","item","condition","word","word_index","word_count","too_fast","too_slow","correct_answer","correct"
"[{""page_index"":0,""viewing_time"":1150}]","1150","instructions","instructions","0","1151","0.0-0.0","aev203bp","","","","","","","","","","",""
"","null","","html-keyboard-response","1","1653","0.0-1.0","aev203bp","<span class=""fixation"">+</span>","null","","","","","","","","",""
"","444","","html-keyboard-response","2","2097","0.0-2.0","aev203bp","<div class""instruction-text><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","","",""
"","456","spr_word","html-keyboard-response","3","2554","0.0-3.0","aev203bp","<div class=""spr_word""><p>John --- -------- ----- -- --- ---------- ----- ------- --- ---- --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","John","0","25","false","false","",""
"","161","spr_word","html-keyboard-response","4","2716","0.0-5.0","aev203bp","<div class=""spr_word""><p>---- was -------- ----- -- --- ---------- ----- ------- --- ---- --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","was","1","25","false","false","",""
"","170","spr_word","html-keyboard-response","5","2886","0.0-7.0","aev203bp","<div class=""spr_word""><p>---- --- studying ----- -- --- ---------- ----- ------- --- ---- --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","studying","2","25","false","false","",""
"","163","spr_word","html-keyboard-response","6","3049","0.0-9.0","aev203bp","<div class=""spr_word""><p>---- --- -------- alone -- --- ---------- ----- ------- --- ---- --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","alone","3","25","false","false","",""
"","168","spr_word","html-keyboard-response","7","3218","0.0-11.0","aev203bp","<div class=""spr_word""><p>---- --- -------- ----- in --- ---------- ----- ------- --- ---- --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","in","4","25","false","false","",""
"","168","spr_word","html-keyboard-response","8","3386","0.0-13.0","aev203bp","<div class=""spr_word""><p>---- --- -------- ----- -- the ---------- ----- ------- --- ---- --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","the","5","25","false","false","",""
"","167","spr_word","html-keyboard-response","9","3554","0.0-15.0","aev203bp","<div class=""spr_word""><p>---- --- -------- ----- -- --- bookstore. ----- ------- --- ---- --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","bookstore.","6","25","false","false","",""
"","159","spr_word","html-keyboard-response","10","3713","0.0-17.0","aev203bp","<div class=""spr_word""><p>---- --- -------- ----- -- --- ---------- After ------- --- ---- --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","After","7","25","false","false","",""
