"view_history","rt","trial_type_label","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","response","item","condition","word","word_index","too_fast","too_slow","correct_answer","correct"
"[{""page_index"":0,""viewing_time"":3788}]","3788","instructions","instructions","0","3791","0.0-0.0","l3yljusk","","","","","","","","","",""
"","null","","html-keyboard-response","1","4292","0.0-1.0","l3yljusk","<span class=""fixation"">+</span>","null","","","","","","","",""
"","583","","html-keyboard-response","2","4876","0.0-2.0","l3yljusk","<div class""instruction-text><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","",""
"","1475","spr_word","html-keyboard-response","3","6352","0.0-3.0","l3yljusk","<div class=""spr_word""><p>John was studying alone in the bookstore.\After reading --- ---- --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","John was studying alone in the bookstore.\After reading","0","false","false","",""
"","857","spr_word","html-keyboard-response","4","7209","0.0-5.0","l3yljusk","<div class=""spr_word""><p>---- --- -------- ----- -- --- ---------------- ------- the math --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","the math","1","false","false","",""
"","437","spr_word","html-keyboard-response","5","7646","0.0-7.0","l3yljusk","<div class=""spr_word""><p>---- --- -------- ----- -- --- ---------------- ------- --- ---- and science --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","and science","2","false","false","",""
"","464","spr_word","html-keyboard-response","6","8110","0.0-9.0","l3yljusk","<div class=""spr_word""><p>---- --- -------- ----- -- --- ---------------- ------- --- ---- --- ------- textbooks ---- --- ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","textbooks","3","false","false","",""
"","482","spr_word","html-keyboard-response","7","8592","0.0-11.0","l3yljusk","<div class=""spr_word""><p>---- --- -------- ----- -- --- ---------------- ------- --- ---- --- ------- --------- from the ------ -------- -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","from the","4","false","false","",""
"","391","spr_word","html-keyboard-response","8","8984","0.0-13.0","l3yljusk","<div class=""spr_word""><p>---- --- -------- ----- -- --- ---------------- ------- --- ---- --- ------- --------- ---- --- school library, -- ------- ----- ------- -- --------- --------</p></div>"," ","1","filler","school library,","5","false","false","",""
"","401","spr_word","html-keyboard-response","9","9385","0.0-15.0","l3yljusk","<div class=""spr_word""><p>---- --- -------- ----- -- --- ---------------- ------- --- ---- --- ------- --------- ---- --- ------ -------- he dreamed ----- ------- -- --------- --------</p></div>"," ","1","filler","he dreamed","6","false","false","",""
"","399","spr_word","html-keyboard-response","10","9784","0.0-17.0","l3yljusk","<div class=""spr_word""><p>---- --- -------- ----- -- --- ---------------- ------- --- ---- --- ------- --------- ---- --- ------ -------- -- ------- about proving -- --------- --------</p></div>"," ","1","filler","about proving","7","false","false","",""
"","445","spr_word","html-keyboard-response","11","10229","0.0-19.0","l3yljusk","<div class=""spr_word""><p>---- --- -------- ----- -- --- ---------------- ------- --- ---- --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- an important --------</p></div>"," ","1","filler","an important","8","false","false","",""
"","442","spr_word","html-keyboard-response","12","10671","0.0-21.0","l3yljusk","<div class=""spr_word""><p>---- --- -------- ----- -- --- ---------------- ------- --- ---- --- ------- --------- ---- --- ------ -------- -- ------- ----- ------- -- --------- theorem.</p></div>"," ","1","filler","theorem.","9","false","false","",""
"","1818","comprehension","html-button-response","13","12490","0.0-23.0","l3yljusk","<div><p>This is a comprehension question!</p></div>","0","","","","","","","No","false"
