"view_history","rt","trial_type_label","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","response","item","condition","word","word_index","word_count","too_fast","too_slow","correct_answer","correct"
"[{""page_index"":0,""viewing_time"":8418}]","8419","instructions","instructions","0","8422","0.0-0.0","wn48bxk6","","","","","","","","","","",""
"","null","","html-keyboard-response","1","8924","0.0-1.0","wn48bxk6","<span class=""fixation"">+</span>","null","","","","","","","","",""
"","611","","html-keyboard-response","2","9536","0.0-2.0","wn48bxk6","<div class""instruction-text><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","","",""
"","540","spr_word","html-keyboard-response","3","10076","0.0-3.0","wn48bxk6","<div class=""spr_word""><p>Only --- ---------- ----- --- --- ----- ------ ---- --- --- --- ----- --- --- ---- ----- -- --- ---- --- ----- ---- ------- ----------</p></div>"," ","1","named_him","Only","0","25","false","false","",""
"","237","spr_word","html-keyboard-response","4","10314","0.0-5.0","wn48bxk6","<div class=""spr_word""><p>---- one ---------- ----- --- --- ----- ------ ---- --- --- --- ----- --- --- ---- ----- -- --- ---- --- ----- ---- ------- ----------</p></div>"," ","1","named_him","one","1","25","false","false","",""
"","280","spr_word","html-keyboard-response","5","10595","0.0-7.0","wn48bxk6","<div class=""spr_word""><p>---- --- competitor ----- --- --- ----- ------ ---- --- --- --- ----- --- --- ---- ----- -- --- ---- --- ----- ---- ------- ----------</p></div>"," ","1","named_him","competitor","2","25","false","false","",""
"","232","spr_word","html-keyboard-response","6","10828","0.0-9.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- could --- --- ----- ------ ---- --- --- --- ----- --- --- ---- ----- -- --- ---- --- ----- ---- ------- ----------</p></div>"," ","1","named_him","could","3","25","false","false","",""
"","214","spr_word","html-keyboard-response","7","11042","0.0-11.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- win --- ----- ------ ---- --- --- --- ----- --- --- ---- ----- -- --- ---- --- ----- ---- ------- ----------</p></div>"," ","1","named_him","win","4","25","false","false","",""
"","213","spr_word","html-keyboard-response","8","11256","0.0-13.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- the ----- ------ ---- --- --- --- ----- --- --- ---- ----- -- --- ---- --- ----- ---- ------- ----------</p></div>"," ","1","named_him","the","5","25","false","false","",""
"","191","spr_word","html-keyboard-response","9","11448","0.0-15.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- race. ------ ---- --- --- --- ----- --- --- ---- ----- -- --- ---- --- ----- ---- ------- ----------</p></div>"," ","1","named_him","race.","6","25","false","false","",""
