"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","task","item_id","condition","segment_text","segment_index","segment_role","is_critical","list","correct_answer","question_text","participant_answer","correct"
"6839","
    <div class=""instructions"">
      <h2>Welcome</h2>
      <p>Thank you for participating in this experiment.</p>
      <p>In this task, you will read short texts presented segment by segment on the screen.</p>
      <p>Press <strong>Space</strong> to continue.</p>
    </div>
  "," ","html-keyboard-response","0","2.1.0","6844","","","","","","","","","","","",""
"30074","
    <div class=""instructions"">
      <h2>Instructions</h2>
      <p>You will read short texts presented <strong>one segment at a time</strong>.</p>
      <p>After reading each segment carefully, press the <strong>Space bar</strong> to see the next one.</p>
      <ul>
        <li>Read each segment only once and do not try to memorise it.</li>
        <li>Make sure you fully understand each segment before advancing.</li>
        <li>Some texts will be followed by a <strong>Yes/No comprehension question</strong>.</li>
        <li>For questions: press <strong>F</strong> for Yes, <strong>J</strong> for No.</li>
        <li>Please answer as accurately as possible.</li>
      </ul>
      <p>We will begin with a few practice items.</p>
      <p>Press <strong>Space</strong> to start the practice.</p>
    </div>
  "," ","html-keyboard-response","1","2.1.0","36921","","","","","","","","","","","",""
"1818","<p class=""segment-display"">The baker woke up early</p>"," ","html-keyboard-response","2","2.1.0","38740","reading","p1","practice","The baker woke up early","0","other","false","2","","","",""
"937","<p class=""segment-display"">to prepare the bread</p>"," ","html-keyboard-response","3","2.1.0","39678","reading","p1","practice","to prepare the bread","1","other","false","2","","","",""
"990","<p class=""segment-display"">for the morning customers.</p>"," ","html-keyboard-response","4","2.1.0","40668","reading","p1","practice","for the morning customers.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","5","2.1.0","41669","sentence_break","p1","","","","","","","","","",""
"526","<p class=""segment-display"">He mixed the dough</p>"," ","html-keyboard-response","6","2.1.0","42195","reading","p1","practice","He mixed the dough","4","other","false","2","","","",""
"821","<p class=""segment-display"">and put it in the oven</p>"," ","html-keyboard-response","7","2.1.0","43016","reading","p1","practice","and put it in the oven","5","other","false","2","","","",""
"896","<p class=""segment-display"">before sunrise.</p>"," ","html-keyboard-response","8","2.1.0","43912","reading","p1","practice","before sunrise.","6","other","false","2","","","",""
"1159","<p class=""segment-display"">Anna took the bus</p>"," ","html-keyboard-response","9","2.1.0","45072","reading","p2","practice","Anna took the bus","0","other","false","2","","","",""
"776","<p class=""segment-display"">to the city centre</p>"," ","html-keyboard-response","10","2.1.0","45848","reading","p2","practice","to the city centre","1","other","false","2","","","",""
"858","<p class=""segment-display"">to meet her friend.</p>"," ","html-keyboard-response","11","2.1.0","46707","reading","p2","practice","to meet her friend.","2","other","false","2","","","",""
"null","","null","html-keyboard-response","12","2.1.0","47708","sentence_break","p2","","","","","","","","","",""
"715","<p class=""segment-display"">They had lunch together</p>"," ","html-keyboard-response","13","2.1.0","48424","reading","p2","practice","They had lunch together","4","other","false","2","","","",""
"726","<p class=""segment-display"">at a small Italian restaurant</p>"," ","html-keyboard-response","14","2.1.0","49152","reading","p2","practice","at a small Italian restaurant","5","other","false","2","","","",""
"1043","<p class=""segment-display"">near the park.</p>"," ","html-keyboard-response","15","2.1.0","50195","reading","p2","practice","near the park.","6","other","false","2","","","",""
