"view_history","rt","trial_type_label","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","browser","width","height","stimulus","response","consent_response","consent_timestamp","success","item","condition","word","word_index","too_fast","too_slow","correct_answer","correct"
"[{""page_index"":0,""viewing_time"":2154}]","2155","instructions","instructions","0","2163","0.0-0.0","g4u46f0h","","","","","","","","","","","","","","","",""
"","","","browser-check","1","2169","0.0-1.0","g4u46f0h","chrome","1363","763","","","","","","","","","","","","",""
"","11454","consent","html-button-response","2","13624","0.0-2.0","g4u46f0h","","","","<div class=""consent-text""> <h2>Consent Agreement</h2> <p> Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> <p> <strong>Description:</strong> You are invited to participate in a research study about language and language learning. The purpose of the research is to understand how people learn new words. This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. If you decide to participate in this research, you will learn and use new words. </p> <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time. </p> <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. This study advances our scientific understanding of how people learn new languages. We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have spent. Additionally, you may be eligible for bonus payments as described in the instructions. </p> <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please save or print a copy of this page for your records. </p> <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> </div>","0","agree","2026-05-26T00:04:06.410Z","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11853}]","11854","instructions","instructions","3","25479","0.0-3.0","g4u46f0h","","","","","","","","","","","","","","","",""
"","1343","","fullscreen","4","27826","0.0-4.0","g4u46f0h","","","","","","","","true","","","","","","","",""
"","null","","html-keyboard-response","5","28329","0.0-5.0","g4u46f0h","","","","<span class=""fixation"">+</span>","null","","","","","","","","","","",""
"","1247","","html-keyboard-response","6","29578","0.0-6.0","g4u46f0h","","","","<div class=""instruction-text""><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","","","","",""
"","4160","spr_word","html-keyboard-response","7","33739","0.0-7.0","g4u46f0h","","","","<div class=""spr_word""><p><span class=""spr_chunk"">It</span> <span class=""spr_chunk"">was</span> <span class=""spr_chunk"">the</span> <span class=""spr_chunk"">last</span> <span class=""spr_chunk"">debate</span> <span class=""spr_chunk"">of</span> <span class=""spr_chunk"">the</span> <span class=""spr_chunk"">election</span> <span class=""spr_chunk"">season.</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","49","filler","It was the last debate of the election season.","0","false","true","",""
"","1551","spr_word","html-keyboard-response","8","35292","0.0-8.0","g4u46f0h","","","","<div class=""spr_word""><p><span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">--------</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">The</span> <span class=""spr_chunk"">first</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","49","filler","The first","1","false","false","",""
"","738","spr_word","html-keyboard-response","9","36031","0.0-9.0","g4u46f0h","","","","<div class=""spr_word""><p><span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">--------</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">few</span> <span class=""spr_chunk"">candidates</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","49","filler","few candidates","2","false","false","",""
"","644","spr_word","html-keyboard-response","10","36677","0.0-10.0","g4u46f0h","","","","<div class=""spr_word""><p><span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">--------</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----------</span> <span class=""spr_chunk"">to</span> <span class=""spr_chunk"">speak</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","49","filler","to speak","3","false","false","",""
"","614","spr_word","html-keyboard-response","11","37292","0.0-11.0","g4u46f0h","","","","<div class=""spr_word""><p><span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">--------</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">during</span> <span class=""spr_chunk"">the</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","49","filler","during the","4","false","false","",""
"","528","spr_word","html-keyboard-response","12","37822","0.0-12.0","g4u46f0h","","","","<div class=""spr_word""><p><span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">--------</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">political</span> <span class=""spr_chunk"">debate</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","49","filler","political debate","5","false","false","",""
