"view_history","rt","trial_type_label","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","response","item","condition","word","word_index","too_fast","too_slow","correct_answer","correct"
"[{""page_index"":0,""viewing_time"":17883}]","17883","instructions","instructions","0","17889","0.0-0.0","31r0go3k","","","","","","","","","",""
"","null","","html-keyboard-response","1","18392","0.0-1.0","31r0go3k","<span class=""fixation"">+</span>","null","","","","","","","",""
"","130986","","html-keyboard-response","2","149379","0.0-2.0","31r0go3k","<div class""instruction-text><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","",""
"","3970","spr_word","html-keyboard-response","3","153351","0.0-3.0","31r0go3k","<div class=""spr_word""><p>Jessica was figure skating alone at the ice rink. ----- --------- ---------- ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","Jessica was figure skating alone at the ice rink.","0","false","true","",""
"","null","","html-keyboard-response","4","155355","0.0-4.0-0.0","31r0go3k","<div><p>Please try to read at a natural pace!</p></div>","null","","","","","","","",""
"","1133","spr_word","html-keyboard-response","5","156489","0.0-5.0","31r0go3k","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- After perfectly ---------- ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","After perfectly","1","false","false","",""
"","662","spr_word","html-keyboard-response","6","157153","0.0-7.0","31r0go3k","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- completing ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","completing","2","false","false","",""
"","686","spr_word","html-keyboard-response","7","157840","0.0-9.0","31r0go3k","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- last year's ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","last year's","3","false","false","",""
"","447","spr_word","html-keyboard-response","8","158289","0.0-11.0","31r0go3k","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ routine as - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","routine as","4","false","false","",""
"","925","spr_word","html-keyboard-response","9","159215","0.0-13.0","31r0go3k","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- a warm up ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","a warm up","5","false","false","",""
"","823","spr_word","html-keyboard-response","10","160040","0.0-15.0","31r0go3k","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- - ---- -- that morning, ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","that morning,","6","false","false","",""
"","641","spr_word","html-keyboard-response","11","160681","0.0-17.0","31r0go3k","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- - ---- -- ---- -------- they failed to -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","they failed to","7","false","false","",""
"","644","spr_word","html-keyboard-response","12","161327","0.0-19.0","31r0go3k","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- do as well ---- ----- --- --------</p></div>"," ","49","filler","do as well","8","false","false","",""
"","673","spr_word","html-keyboard-response","13","162001","0.0-21.0","31r0go3k","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- with their --- --------</p></div>"," ","49","filler","with their","9","false","false","",""
"","599","spr_word","html-keyboard-response","14","162601","0.0-23.0","31r0go3k","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- new routine.</p></div>"," ","49","filler","new routine.","10","false","false","",""
"","6100","comprehension","html-button-response","15","168703","0.0-25.0","31r0go3k","<div><p>Did Jessica warm up?</p></div>","1","","","","","","","Yes","false"
"","null","","html-keyboard-response","16","169204","0.0-26.0","31r0go3k","<span class=""fixation"">+</span>","null","","","","","","","",""
"","5999","","html-keyboard-response","17","175205","0.0-27.0","31r0go3k","<div class""instruction-text><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","",""
"","2325","spr_word","html-keyboard-response","18","177531","0.0-28.0","31r0go3k","<div class=""spr_word""><p>Matthew was swimming alone in the pool. -- --- -------- ---- --- ----- --- ---- -- ------- --- --- ---- ---- ---- ---- ---- ---- --- ---- --- --- -------- -- ----- -----</p></div>"," ","45","filler","Matthew was swimming alone in the pool.","0","false","true","",""
"","null","","html-keyboard-response","19","179533","0.0-29.0-0.0","31r0go3k","<div><p>Please try to read at a natural pace!</p></div>","null","","","","","","","",""
"","784","spr_word","html-keyboard-response","20","180318","0.0-30.0","31r0go3k","<div class=""spr_word""><p>------- --- -------- ----- -- --- ----- It was -------- ---- --- ----- --- ---- -- ------- --- --- ---- ---- ---- ---- ---- ---- --- ---- --- --- -------- -- ----- -----</p></div>"," ","45","filler","It was","1","false","false","",""
"","605","spr_word","html-keyboard-response","21","180924","0.0-32.0","31r0go3k","<div class=""spr_word""><p>------- --- -------- ----- -- --- ----- -- --- apparent that --- ----- --- ---- -- ------- --- --- ---- ---- ---- ---- ---- ---- --- ---- --- --- -------- -- ----- -----</p></div>"," ","45","filler","apparent that","2","false","false","",""
