"view_history","rt","trial_type_label","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","response","item","condition","word","word_index","too_fast","too_slow","correct_answer","correct"
"[{""page_index"":0,""viewing_time"":60710}]","60710","instructions","instructions","0","60713","0.0-0.0","yb6jh268","","","","","","","","","",""
"","null","","html-keyboard-response","1","61216","0.0-1.0","yb6jh268","<span class=""fixation"">+</span>","null","","","","","","","",""
"","6549","","html-keyboard-response","2","67767","0.0-2.0","yb6jh268","<div class""instruction-text><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","",""
"","2885","spr_word","html-keyboard-response","3","70654","0.0-3.0","yb6jh268","<div class=""spr_word""><p>Jessica was figure skating alone at the ice rink. ----- --------- ---------- ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","Jessica was figure skating alone at the ice rink.","0","false","true","",""
"","null","","html-keyboard-response","4","72658","0.0-4.0-0.0","yb6jh268","<div><p>Please try to read at a natural pace!</p></div>","null","","","","","","","",""
"","1343","spr_word","html-keyboard-response","5","74004","0.0-5.0","yb6jh268","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- After perfectly ---------- ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","After perfectly","1","false","false","",""
"","845","spr_word","html-keyboard-response","6","74851","0.0-7.0","yb6jh268","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- completing ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","completing","2","false","false","",""
"","450","spr_word","html-keyboard-response","7","75303","0.0-9.0","yb6jh268","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- last year's ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","last year's","3","false","false","",""
"","690","spr_word","html-keyboard-response","8","75995","0.0-11.0","yb6jh268","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ routine as - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","routine as","4","false","false","",""
"","666","spr_word","html-keyboard-response","9","76664","0.0-13.0","yb6jh268","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- a warm up ---- -------- ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","a warm up","5","false","false","",""
"","706","spr_word","html-keyboard-response","10","77371","0.0-15.0","yb6jh268","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- - ---- -- that morning, ---- ------ -- -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","that morning,","6","false","false","",""
"","692","spr_word","html-keyboard-response","11","78066","0.0-17.0","yb6jh268","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- - ---- -- ---- -------- they failed to -- -- ---- ---- ----- --- --------</p></div>"," ","49","filler","they failed to","7","false","false","",""
"","644","spr_word","html-keyboard-response","12","78711","0.0-19.0","yb6jh268","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- do as well ---- ----- --- --------</p></div>"," ","49","filler","do as well","8","false","false","",""
"","463","spr_word","html-keyboard-response","13","79176","0.0-21.0","yb6jh268","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- with their --- --------</p></div>"," ","49","filler","with their","9","false","false","",""
"","550","spr_word","html-keyboard-response","14","79727","0.0-23.0","yb6jh268","<div class=""spr_word""><p>------- --- ------ ------- ----- -- --- --- ----- ----- --------- ---------- ---- ------ ------- -- - ---- -- ---- -------- ---- ------ -- -- -- ---- ---- ----- new routine.</p></div>"," ","49","filler","new routine.","10","false","false","",""
"","1967","comprehension","html-button-response","15","81697","0.0-25.0","yb6jh268","<div><p>Did Jessica warm up?</p></div>","0","","","","","","","Yes","true"
"","null","","html-keyboard-response","16","82198","0.0-26.0","yb6jh268","<span class=""fixation"">+</span>","null","","","","","","","",""
"","714","","html-keyboard-response","17","82914","0.0-27.0","yb6jh268","<div class""instruction-text><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","",""
"","1618","spr_word","html-keyboard-response","18","84536","0.0-28.0","yb6jh268","<div class=""spr_word""><p>Kate was in the studio alone, drawing. --- ----- ------ -- --- ---- --- --- --- -------- ---- --- -------- ----- --- -- ---- ---- ---- -- --- --------</p></div>"," ","33","filler","Kate was in the studio alone, drawing.","0","false","false","",""
"","515","spr_word","html-keyboard-response","19","85054","0.0-30.0","yb6jh268","<div class=""spr_word""><p>---- --- -- --- ------ ------ -------- The final ------ -- --- ---- --- --- --- -------- ---- --- -------- ----- --- -- ---- ---- ---- -- --- --------</p></div>"," ","33","filler","The final","1","false","false","",""
"","396","spr_word","html-keyboard-response","20","85452","0.0-32.0","yb6jh268","<div class=""spr_word""><p>---- --- -- --- ------ ------ -------- --- ----- sketch -- --- ---- --- --- --- -------- ---- --- -------- ----- --- -- ---- ---- ---- -- --- --------</p></div>"," ","33","filler","sketch","2","false","false","",""
"","343","spr_word","html-keyboard-response","21","85796","0.0-34.0","yb6jh268","<div class=""spr_word""><p>---- --- -- --- ------ ------ -------- --- ----- ------ of the ---- --- --- --- -------- ---- --- -------- ----- --- -- ---- ---- ---- -- --- --------</p></div>"," ","33","filler","of the","3","false","false","",""
"","376","spr_word","html-keyboard-response","22","86175","0.0-36.0","yb6jh268","<div class=""spr_word""><p>---- --- -- --- ------ ------ -------- --- ----- ------ -- --- week --- --- --- -------- ---- --- -------- ----- --- -- ---- ---- ---- -- --- --------</p></div>"," ","33","filler","week","4","false","false","",""
"","436","spr_word","html-keyboard-response","23","86613","0.0-38.0","yb6jh268","<div class=""spr_word""><p>---- --- -- --- ------ ------ -------- --- ----- ------ -- --- ---- was not --- -------- ---- --- -------- ----- --- -- ---- ---- ---- -- --- --------</p></div>"," ","33","filler","was not","5","false","false","",""
"","504","spr_word","html-keyboard-response","24","87118","0.0-40.0","yb6jh268","<div class=""spr_word""><p>---- --- -- --- ------ ------ -------- --- ----- ------ -- --- ---- --- --- yet finished ---- --- -------- ----- --- -- ---- ---- ---- -- --- --------</p></div>"," ","33","filler","yet finished","6","false","false","",""
"","418","spr_word","html-keyboard-response","25","87539","0.0-42.0","yb6jh268","<div class=""spr_word""><p>---- --- -- --- ------ ------ -------- --- ----- ------ -- --- ---- --- --- --- -------- when she -------- ----- --- -- ---- ---- ---- -- --- --------</p></div>"," ","33","filler","when she","7","false","false","",""
"","315","spr_word","html-keyboard-response","26","87857","0.0-44.0","yb6jh268","<div class=""spr_word""><p>---- --- -- --- ------ ------ -------- --- ----- ------ -- --- ---- --- --- --- -------- ---- --- realized there --- -- ---- ---- ---- -- --- --------</p></div>"," ","33","filler","realized there","8","false","false","",""
"","393","spr_word","html-keyboard-response","27","88252","0.0-46.0","yb6jh268","<div class=""spr_word""><p>---- --- -- --- ------ ------ -------- --- ----- ------ -- --- ---- --- --- --- -------- ---- --- -------- ----- was no more ---- ---- -- --- --------</p></div>"," ","33","filler","was no more","9","false","false","",""
"","1043","spr_word","html-keyboard-response","28","89298","0.0-48.0","yb6jh268","<div class=""spr_word""><p>---- --- -- --- ------ ------ -------- --- ----- ------ -- --- ---- --- --- --- -------- ---- --- -------- ----- --- -- ---- time left in the session.</p></div>"," ","33","filler","time left in the session.","10","false","false","",""
"","1519","comprehension","html-button-response","29","90819","0.0-50.0","yb6jh268","<div><p>Was Kate drawing?</p></div>","0","","","","","","","Yes","true"
