"view_history","rt","trial_type_label","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","browser","width","height","stimulus","response","consent_response","consent_timestamp","success","item","condition","word","word_index","too_fast","too_slow","correct_answer","correct"
"[{""page_index"":0,""viewing_time"":4124}]","4124","instructions","instructions","0","4131","0.0-0.0","rp2p5eqe","","","","","","","","","","","","","","","",""
"","","","browser-check","1","4133","0.0-1.0","rp2p5eqe","opera","3386","1272","","","","","","","","","","","","",""
"","21049","consent","html-button-response","2","25183","0.0-2.0","rp2p5eqe","","","","<div class=""consent-text""> <h2>Consent Agreement</h2> <p> Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> <p> <strong>Description:</strong> You are invited to participate in a research study about language and language learning. The purpose of the research is to understand how people learn new words. This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. If you decide to participate in this research, you will learn and use new words. </p> <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time. </p> <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. This study advances our scientific understanding of how people learn new languages. We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have spent. Additionally, you may be eligible for bonus payments as described in the instructions. </p> <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please save or print a copy of this page for your records. </p> <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> </div>","0","agree","2026-05-26T00:06:25.494Z","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":16841}]","16841","instructions","instructions","3","42024","0.0-3.0","rp2p5eqe","","","","","","","","","","","","","","","",""
"","1409","","fullscreen","4","44438","0.0-4.0","rp2p5eqe","","","","","","","","true","","","","","","","",""
"","null","","html-keyboard-response","5","44941","0.0-5.0","rp2p5eqe","","","","<span class=""fixation"">+</span>","null","","","","","","","","","","",""
"","1533","","html-keyboard-response","6","46474","0.0-6.0","rp2p5eqe","","","","<div class=""instruction-text""><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","","","","",""
"","6444","spr_word","html-keyboard-response","7","52918","0.0-7.0","rp2p5eqe","","","","<div class=""spr_word""><p><span class=""spr_chunk"">All</span> <span class=""spr_chunk"">the</span> <span class=""spr_chunk"">performers</span> <span class=""spr_chunk"">in</span> <span class=""spr_chunk"">the</span> <span class=""spr_chunk"">movie</span> <span class=""spr_chunk"">were</span> <span class=""spr_chunk"">nominated</span> <span class=""spr_chunk"">for</span> <span class=""spr_chunk"">the</span> <span class=""spr_chunk"">same</span> <span class=""spr_chunk"">award.</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">--------</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","8","specific_he","All the performers in the movie were nominated for the same award.","0","false","true","",""
"","1524","spr_word","html-keyboard-response","8","54443","0.0-8.0","rp2p5eqe","","","","<div class=""spr_word""><p><span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">The</span> <span class=""spr_chunk"">youngest</span> <span class=""spr_chunk"">performer</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","8","specific_he","The youngest performer","1","false","false","",""
"","645","spr_word","html-keyboard-response","9","55088","0.0-9.0","rp2p5eqe","","","","<div class=""spr_word""><p><span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">--------</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">hoped</span> <span class=""spr_chunk"">that</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","8","specific_he","hoped that","2","false","false","",""
"","894","spr_word","html-keyboard-response","10","55983","0.0-10.0","rp2p5eqe","","","","<div class=""spr_word""><p><span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">--------</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">the</span> <span class=""spr_chunk"">one</span> <span class=""spr_chunk"">who</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","8","specific_he","the one who","3","false","false","",""
"","578","spr_word","html-keyboard-response","11","56561","0.0-11.0","rp2p5eqe","","","","<div class=""spr_word""><p><span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">--------</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">would</span> <span class=""spr_chunk"">win</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","8","specific_he","would win","4","false","false","",""
"","573","spr_word","html-keyboard-response","12","57134","0.0-12.0","rp2p5eqe","","","","<div class=""spr_word""><p><span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">------</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">--------</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">the</span> <span class=""spr_chunk"">award</span> <span class=""spr_chunk"">-----</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span> <span class=""spr_chunk"">-------</span> <span class=""spr_chunk"">--</span> <span class=""spr_chunk"">----</span> <span class=""spr_chunk"">---</span> <span class=""spr_chunk"">---------</span></p></div>"," ","","","","8","specific_he","the award","5","false","false","",""
